epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.458,1.48216,2.68884,1.81169,0.707,0.52632,0.61072,0.26541,1.65881,2.38321,2.16605,0.000661765,0.000661765,0.000661765
2,740.992,1.53445,2.13003,1.86736,0.59254,0.55012,0.57791,0.24857,1.68535,2.17226,2.08671,0.00119692,0.00119692,0.00119692
3,1129.05,1.54871,1.74053,1.84324,0.6823,0.62829,0.69779,0.3496,1.5617,1.68023,1.95049,0.00160007,0.00160007,0.00160007
4,1480.83,1.48602,1.5224,1.79522,0.67193,0.72039,0.66577,0.328,1.59015,1.52185,1.89453,0.001406,0.001406,0.001406
5,1827.45,1.45068,1.3499,1.7315,0.81933,0.65461,0.71932,0.38572,1.57998,1.47992,1.95337,0.001208,0.001208,0.001208
6,2167.55,1.38522,1.1758,1.6662,0.89768,0.76645,0.87173,0.51834,1.35904,1.07905,1.6484,0.00101,0.00101,0.00101
7,2492.59,1.30731,1.08874,1.59831,0.87121,0.82566,0.86743,0.53301,1.31133,1.03439,1.62148,0.000812,0.000812,0.000812
8,2827.13,1.21727,0.97845,1.51424,0.93401,0.88456,0.92705,0.59433,1.21909,0.88136,1.50856,0.000614,0.000614,0.000614
9,3150.23,1.17068,0.88325,1.47966,0.93631,0.84868,0.92877,0.59542,1.21119,0.85504,1.54588,0.000416,0.000416,0.000416
10,3479.6,1.11146,0.82391,1.42024,0.93441,0.89145,0.94106,0.64143,1.13938,0.76769,1.45287,0.000218,0.000218,0.000218
